Transportation Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Fossil fuel combustion: carbon dioxide,1469.089685,1422.471337,1477.760137,1508.717612,1553.75617,1580.486938,1627.155259,1643.287918,1678.611313,1746.020492,1779.393411,1758.432316,1799.858154,1792.527094,1837.151266,1856.999246,1852.742342,1854.880736,1760.238483,1687.500091,1697.383815,1677.213426,1666.542509,1682.675088,1721.581362,1733.961037,1779.030919,1800.567081
Use of fluorinated gases,0,0,1.1689821,5.09734604,12.40641769,19.61348893,28.3738331,37.42652107,43.76291413,50.19508383,56.18097529,62.01172568,64.48480932,66.19873845,68.16503857,69.26851076,70.31625647,71.18205397,71.86291331,71.06497478,68.06205194,62.43382391,57.12468193,51.58341155,48.7538765,46.33649281,43.2987415,40.13971493
Fossil fuel combustion: other greenhouse gases,46.14816771,47.87017127,50.80912955,52.71268753,54.49973526,55.93482117,57.00907852,57.71491433,57.87012784,54.90542015,53.59368233,50.28551772,47.94981136,45.38138013,42.64489236,39.51842164,37.02368655,33.00696226,30.42335104,28.7407542,27.58051783,26.19245703,23.56990672,21.53879607,19.51030221,18.09359622,17.02469468,15.90477209
Other transportation categories,11.83867526,10.59090579,10.79788081,10.99503512,11.49199042,11.29470158,10.96133525,11.57943518,12.12199628,12.24879118,12.06508992,11.05429576,10.92333041,10.09879359,10.2311715,10.17769567,9.915832241,10.23984871,9.506590763,8.54705268,10.41083685,9.980272303,9.108246246,9.643206384,10.04679759,10.95144727,10.38305632,9.571703477
Total,1527.07652797,1480.93241406,1540.53612946,1577.52268069,1632.1543133700001,1667.32994968,1723.49950587,1750.00878858,1792.36635125,1863.36978716,1901.2331585400002,1881.7838551599998,1923.2161050900001,1914.2060061700001,1958.1923684300002,1975.9638740700002,1969.9981172610003,1969.3096009399998,1872.0313381130001,1795.8528726600002,1803.4372216199997,1775.819979243,1756.345343896,1765.4405020039998,1799.8923383,1809.3425733000001,1849.7374115,1866.183271497
