Economic Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Transportation,1527.07652797,1480.93241406,1540.53612946,1577.52268069,1632.1543133700001,1667.32994968,1723.49950587,1750.00878858,1792.36635125,1863.36978716,1901.2331585400002,1881.7838551599998,1923.2161050900001,1914.2060061700001,1958.1923684300002,1975.9638740700002,1969.9981172610003,1969.3096009399998,1872.0313381130001,1795.8528726600002,1803.4372216199997,1775.819979243,1756.345343896,1765.4405020039998,1799.8923383,1809.3425733000001,1849.7374115,1866.183271497
Electricity generation,1875.5370046679997,1871.5678183159998,1886.539354602,1962.302413847,1987.102590204,2003.8271188900003,2076.8135035600003,2142.984902670001,2229.5342391709996,2243.586718918,2349.1284112890002,2309.724250497,2325.712713499,2356.843517344,2389.86951299,2455.9047395099996,2399.3229060090002,2465.977132886,2412.1496752139996,2195.9330885739996,2312.2296389109997,2209.8496610570005,2070.784484665,2088.7323646359996,2088.894219646,1949.5094120450003,1857.1550322379998,1778.345459599
Industry,1628.555709814,1601.087568802,1631.5497686250005,1604.8892686420004,1629.785256432,1647.9611338679997,1675.436843462,1673.020466172,1646.623630694,1599.2046907850003,1588.8179597460002,1538.5195619669998,1522.1196422100001,1498.0744272750003,1546.5063275769996,1508.356664633,1538.4406777079998,1529.0401791389997,1471.589121006,1319.18008036,1415.461671886,1421.2438167899997,1414.9819831989998,1469.527567605,1459.276118361,1451.166431796,1414.134994557,1436.45467262
Agriculture,534.8598644120001,534.640266955,538.7435762350001,551.510565712,543.9804447,556.7417816560001,559.083902277,553.9920878849999,575.49729422,553.226880569,550.350540634,558.160761431,560.3649733999999,564.611851809,586.9697043019998,570.0440666520001,582.817029849,597.2466302390001,583.5514041780001,586.084457653,593.746436027,579.21654196,563.243242774,572.570343687,569.1836131260001,585.239495994,581.6796129989999,582.1804753019998
Commercial,426.92847995899995,433.97640875,429.4006681369999,424.55607662100004,427.19176881299995,426.374784722,433.79547945,426.226943212,400.24054205299995,396.32974071600006,410.195714472,398.768631467,399.27086379400003,415.03314480899996,411.799405452,400.67852985300004,386.915628281,400.93798119,407.99785778300003,410.78173265199996,412.149086697,406.995441561,386.51931093900003,409.580767899,419.51132153000003,432.172965155,416.06598121600006,415.976008021
Residential,344.72177021100003,354.286846514,360.849209822,372.203142947,363.14197381500003,367.408699606,398.82597428699995,380.392998875,346.031682993,365.73662554599997,386.547110374,376.704201427,374.07141160000003,392.563877977,380.15705385800004,370.038380269,333.928252563,355.47502837200005,363.763155849,354.299032906,355.005358451,348.2700119,305.636497366,356.293037177,376.60814476,349.708506526,326.863207907,330.94643348700003
U.S. territories,33.321185608,39.123870578,37.315649755,39.085447400999996,41.479440121,40.423828993,40.243846205,41.835782931000004,42.232269309,50.007013115999996,45.737878572999996,53.148819842,51.897158376,57.92983616,59.557676701,58.053613473999995,58.904336522,51.981153664,49.518260451,47.237880042,46.562267098,46.023575636,48.458468465,48.073591593,46.629876406,46.63609381,46.631184384,46.631872334
Total,6371.000542641999,6315.615193975,6424.934356636001,6532.069595860001,6624.835787454999,6710.067297415,6907.699055111,6968.461970325,7032.52600969,7071.4614568100005,7232.010773628001,7116.810081790999,7156.652867969001,7199.262661544,7333.05204931,7339.039868461,7270.326948193001,7369.96770643,7160.600812594,6709.369144847,6938.591680689999,6787.419028147,6545.969331304001,6710.218174601,6759.995632128999,6623.775478626001,6492.267424801001,6456.718192859999
